Name,Count
郭靖,4786
黄蓉,3481
欧阳,1247
洪七公,996
说道,982
笑道,908
黄药师,814
心中,807
一个,807
师父,803
两人,785
武功,737
一声,690
只见,649
周伯通,622
心想,602
欧阳克,563
丘处机,552
听得,549
功夫,541
不知,540
当下,491
这一,478
梅超风,462
爹爹,457
之中,451
知道,430
杨康,422
身子,412
二人,411
不敢,409
到了,405
柯镇恶,399
不是,399
裘千仞,384
都是,374
却是,366
朱聪,347
左手,346
地下,342
完颜,338
身上,337
原来,331
众人,330
一阵,330
眼见,320
双手,320
完颜洪烈,315
铁木真,311
帮主,311
不禁,310
弟子,306
正是,304
又是,300
穆念慈,300
右手,296
出来,294
兄弟,292
不能,287
也是,285
过了,281
忽然,279
声道,276
桃花岛,272
问道,270
喝道,269
见到,269
突然,268
脸上,267
之后,264
伸手,259
住了,258
一人,255
今日,253
甚是,252
叫化,252
彭连虎,248
陆冠英,245
三人,244
性命,240
在他,239
蒙古,235
杨铁心,234
全真,233
只怕,229
拖雷,227
中一,227
梁子翁,226
大汗,225
那人,224
江南,223
此时,223
哥哥,223
一掌,221
声音,219
道长,219
这是,217
敌人,216
起来,216
之下,215
难道,215
哪知,214
姑娘,213
想起,211
两个,208
在这,205
这般,204
成吉思汗,203
更是,202
听他,202
上了,200
说话,199
大叫,199
华筝,199
大哥,199
当即,198
给他,198
只得,198
不得,197
马钰,197
一惊,196
出去,195
厉害,194
女子,193
低声,192
但见,192
登时,191
有人,191
吃了,188
忽听,186
给你,186
不住,186
孩子,185
仍是,185
是以,184
父亲,184
手中,183
之上,183
下来,183
不可,182
包惜弱,182
却也,182
真是,181
说了,181
当真,180
立时,180
过去,180
听到,179
转身,178
跟着,177
点头,175
后来,175
韩小莹,175
丐帮,174
韩宝驹,172
起身,172
轻轻,171
一时,170
之事,170
早已,170
将他,170
急忙,169
公道,169
出手,168
一招,167
想到,167
侯通海,166
大喜,165
死了,165
老顽童,164
不肯,163
铁掌,163
坐在,162
在这里,161
听了,160
之间,159
摇头,157
九阴真经,157
暗暗,156
之极,155
之人,155
沙通天,155
一条,155
不到,155
天下,154
动手,154
这才,152
给我,152
不见,151
抓住,151
走到,151
下一,150
我爹,150
竟是,150
一会,149
两位,149
不及,148
内功,148
那是,148
老毒物,146
这位,146
女儿,145
四人,145
黄老,144
正要,144
上前,144
全身,143
现下,142
之时,142
杀了,142
庄主,142
又道,141
便是,141
被他,139
不会,139
对方,138
过来,137
却不,137
随即,137
胸口,136
十分,136
望着,136
适才,136
匕首,136
本来,135
大声,134
放在,134
似乎,134
出了,133
岛上,133
慢慢,131
程瑶迦,131
通道,131
鲁有脚,131
不由得,131
自然,131
公子,130
站起,129
却又,129
母亲,128
到他,128
身旁,128
去了,127
这几,127
见了,126
不错,126
头顶,126
神色,126
当年,126
下去,125
刚才,125
片刻,125
身后,124
一眼,124
一笑,124
金兵,123
叹道,123
道士,123
书生,123
师哥,122
站在,122
尹志平,122
中了,121
微微,120
立即,120
再也,119
不用,119
总是,119
全金发,119
之际,119
实是,119
口中,118
得了,118
哈哈大笑,118
始终,118
少年,118
就算,117
手腕,117
侄儿,117
已被,116
竟然,116
道人,116
之声,116
一只,116
跃起,116
半晌,115
经文,115
手里,114
林中,114
还不,114
段天德,112
渔人,112
大金,112
跟你,112
十余,111
答应,110
手掌,109
必是,109
微笑,109
的人,109
声响,109
难以,109
七公,109
来到,108
一块,108
脸色,108
个个,108
肩头,108
向他,108
小王爷,107
人在,107
明白,107
本事,107
说到,107
功力,107
在此,107
西毒,107
点了,106
瞧瞧,106
小红马,105
一怔,105
怎能,105
回来,105
左掌,104
已不,104
手指,104
南希仁,104
起了,104
这人,103
比武,103
说得,103
取出,102
没有,102
了得,102
好好,102
见过,102
此人,101
一齐,101
人道,101
东西,101
手臂,101
临安,101
大家,100
走了,100
少女,100
竹棒,100
就在,100
数十,100
师兄,99
忽地,99
贫道,99
上来,99
成了,98
真经,98
异常,98
打得,98
大惊,98
儿子,97
转头,97
终于,97
向前,97
冷笑,97
不再,97
不动,97
掌法,96
穴道,96
头上,96
兵刃,96
许多,95
江湖,95
又不,94
又有,94
可不,94
这一下,94
一张,94
三个,94
就要,93
齐声,93
之处,93
桑昆,93
向后,93
一把,93
已然,92
听她,92
眼前,92
一口,92
指点,92
良久,91
背后,91
缓缓,91
就不,91
这次,91
王爷,91
远远,90
之前,90
一灯大师,90
两名,90
定是,90
模样,90
回头,89
老人家,89
武学,89
武艺,89
受伤,89
空中,89
纵身,89
当日,88
前面,88
干么,88
你爹,88
无人,88
向来,88
背上,88
武林,87
岂能,87
中大,87
却已,87
李萍,87
未必,87
却见,87
劲力,87
正在,87
言语,87
一件,86
不必,86
一名,86
师道,86
各人,86
不理,86
奇怪,85
沉吟,85
上去,85
跟他,85
看来,85
口气,85
岛主,85
六位,84
大师,84
并不,84
妻子,84
几个,84
瞧着,84
丈夫,84
高手,84
而去,84
叫他,84
一拳,84
皇帝,83
灵智上人,83
官兵,83
是不是,83
开了,83
一片,83
汉子,83
一根,83
相救,82
眼睛,82
了点,82
吓得,81
四下,81
不出,81
长老,81
岂知,81
赵王,81
全真教,80
无法,80
一动,80
郭啸天,80
之外,80
前辈,80
英雄,80
不觉,79
妹子,79
不多,79
进来,79
不了,79
面前,79
棒法,78
相助,78
家村,78
伤了,78
不好,78
人身,78
犹如,78
报仇,78
一道,78
举起,77
入了,77
一点,77
跟我,77
有这,77
恩师,77
害死,77
原来是,77
都史,77
江南七怪,77
一股,77
满脸,77
真的,77
爷爷,77
打了,77
下了,76
得好,76
多时,76
好生,76
一下,76
名字,76
要你,75
之意,75
远处,75
牛家,75
此处,74
