Name,Count
杨过,5755
小龙女,1969
黄蓉,1376
说道,1371
郭靖,1370
自己,1128
甚么,994
李莫愁,944
武功,913
心中,906
一个,828
郭芙,818
法王,779
郭襄,757
一声,741
心想,739
二人,720
笑道,713
咱们,669
不知,627
师父,577
蒙古,577
听得,572
过道,566
只是,562
两人,545
陆无双,541
此时,540
周伯通,532
当下,524
如此,520
这一,510
只见,506
弟子,493
兄弟,460
如何,446
赵志敬,442
之中,433
突然,425
也是,419
不敢,404
眼见,403
他们,402
姑娘,400
便是,397
今日,396
功夫,392
到了,385
却是,380
身上,380
知道,377
这时,375
虽然,373
声道,373
都是,370
于是,357
身子,356
金轮法王,353
不能,347
原来,347
又是,347
长剑,344
姑姑,343
伸手,330
众人,327
喝道,319
当真,318
左手,317
你们,316
脸上,316
不是,316
出来,315
霍都,314
这般,310
若是,303
女儿,303
但见,298
性命,296
裘千尺,295
一人,286
兵刃,286
跟着,285
两个,284
三人,283
登时,281
问道,279
之下,279
欧阳,275
不禁,275
说话,274
正是,272
我们,272
少女,270
真是,268
公孙止,267
中一,263
之后,260
右手,259
一阵,259
耶律齐,258
襄阳,257
当即,257
住了,256
大声,253
潇湘子,251
难道,249
手中,247
之间,247
爹爹,243
双手,242
全真,241
地下,241
不由得,241
帮主,240
尹志平,240
过心,238
对方,237
过了,236
出手,235
在这,233
丐帮,233
黄药师,228
还是,228
仍是,226
一般,225
只有,225
在他,223
哪里,222
少年,222
更是,221
之时,221
甚是,221
低声,221
尼摩星,221
想起,220
武三通,220
这么,217
可是,216
不可,215
怎么,214
厉害,214
过去,213
却也,212
见到,212
公孙,211
一惊,211
胸口,210
自是,210
武修文,208
声音,208
敌人,207
死了,207
实是,207
丘处机,207
轻轻,206
有人,206
在此,204
道人,203
大叫,202
同时,200
全真教,200
听到,200
不住,200
一笑,200
大哥,199
动手,196
忽听,194
这个,193
始终,193
竟是,193
上了,191
起来,190
只怕,190
出去,189
跟你,188
朱子柳,186
自然,186
不肯,185
听他,185
尹克西,185
说了,185
不及,184
一招,183
内力,182
手臂,182
英雄,182
一时,181
一眼,181
本来,180
只要,180
拂尘,179
给他,178
剑法,177
洪七公,177
立时,177
这位,177
父亲,177
之事,176
女子,176
当年,175
这些,174
大喜,172
全身,172
孙婆婆,172
将他,172
道士,172
微微,171
不过,171
早已,171
孩子,171
旁人,171
想到,170
起身,169
这几,167
倘若,167
哪知,167
一掌,165
这才,164
抓住,164
难以,163
古墓,163
一齐,162
天下,162
不得,161
眼前,161
中了,161
不会,161
适才,160
怎地,160
不用,159
武林,158
樊一翁,158
不见,158
之处,158
四人,158
终于,157
走到,157
达尔巴,157
只得,156
听了,155
站起,155
摇头,155
冷笑,155
这是,153
站在,153
后来,153
之际,153
半点,153
完颜萍,152
望着,151
竟然,151
似乎,151
暗暗,150
坐在,150
不到,150
那是,150
母亲,149
穴道,149
不错,149
那人,149
重阳,148
就是,148
向他,148
一怔,147
这等,147
随即,147
柯镇恶,146
过来,146
急忙,145
之声,145
和尚,145
上前,145
点头,144
夫妇,144
吃了,144
此人,143
果然,143
转身,141
是以,141
招数,141
给你,141
之上,140
一动,140
去了,140
忽必烈,140
却不,139
下来,139
此处,138
之意,138
一股,138
之人,137
此刻,137
明白,136
内功,136
不再,136
出了,135
这里,135
因此,135
伯伯,134
婴儿,134
到他,133
年纪,131
马光佐,131
瞧瞧,130
高手,130
两位,130
洪凌波,130
棒法,129
林中,129
手掌,129
忽然,129
下一,129
说到,129
老顽童,129
一会,128
一只,128
傻蛋,128
已然,127
一条,127
婆婆,126
下去,126
回头,125
身后,125
便在,125
取出,124
桃花岛,123
没有,123
神色,123
江湖,123
此事,122
总是,122
缓缓,122
答应,122
这样,122
并不,121
已不,121
声响,121
却又,121
口中,120
微笑,120
许多,119
师叔,119
手指,119
过大,119
给我,119
不动,119
更加,118
越是,118
将她,118
言语,118
又有,117
绝情谷,117
其实,117
回来,117
一块,116
夫人,116
杀了,116
脸色,115
前辈,115
纵身,115
人人,114
武敦儒,114
跟我,113
解药,113
立即,113
何以,113
不出,113
一灯大师,113
一片,113
几句话,113
定是,113
打狗棒,113
慢慢,112
在她,112
轻功,112
便要,111
之前,111
肩头,111
一生,111
说得,111
奇怪,110
祖师,110
师兄,109
姊姊,109
了得,109
银针,108
但他,108
一下,108
妈妈,108
之外,108
点了,107
渐渐,107
口气,107
觉得,106
怎能,106
正要,106
郝大通,106
妹子,105
的人,105
身旁,105
掌教,105
受伤,105
十分,104
未必,104
一步,104
反而,104
片刻,104
的话,103
齐声,103
十六,103
满脸,103
好好,103
龙女,102
是不是,102
这一下,102
向前,102
再说,102
哥哥,102
居然,101
再也,101
还有,101
良久,101
转头,101
伸出,101
微微一笑,101
见过,101
一剑,100
各人,100
见了,99
心念,99
不好,99
武学,99
不了,99
一面,99
左掌,98
否则,98
一直,98
群雄,97
向后,97
纵然,97
干么,96
又道,96
半晌,96
人在,95
不免,95
几个,95
却已,95
若不,94
无法,94
跟他,94
劲力,94
隐隐,94
和他,93
开了,93
背上,93
无不,93
须得,93
模样,93
不理,93
现下,92
和我,92
之极,92
暗器,92
异常,92
头顶,92
一口,92
功力,92
怀中,91
欢喜,91
绝情,91
人道,91
生平,91
三个,91
来到,90
一点,90
有这,90
无比,90
走了,90
几下,90
伯母,90
好生,90
已是,90
放在,90
一起,90
叹了,90
一日,89
又不,89
手腕,89
决不,89
背后,89
人身,89
叹道,89
并无,88
沉吟,88
孩儿,88
化子,88
得了,88
渔网,88
左右,87
其中,87
世上,87
尚未,87
数十,87
大怒,86
入了,86
鲜血,86
身边,86
闪避,86
生怕,86
公孙绿萼,86
中大,86
在这里,86
叫了,86
终南山,85
突然间,85
这一招,85
可不,85
忍不住,85
就在,85
不愿,85
朗声,85
接着,85
名字,85
不如,85
重伤,84
通道,84
为甚么,84
老人家,84
提起,84
那么,84
古墓派,84
丝毫,84
一番,84
跃起,84
除了,83
远远,83
伤了,83
听她,83
还不,83
猛地,83
上来,83
各位,83
上有,82
下了,82
日后,82
定然,82
成了,82
四个,82
真人,82
比武,82
看来,82
古怪,82
指着,82
何况,82
一张,82
一根,82
六年,81
头上,81
尽数,81
相斗,81
来了,81
师伯,81
一件,80
余年,80
一路,80
乃是,80
想不到,80
神情,79
不成,79
师妹,79
上去,79
大汗,79
之心,79
一枚,79
丈夫,79
回到,79
手上,79
玉女心经,79
叫我,78
大师,78
被他,78
心意,78
无人,78
阳城,78
定要,78
岂知,78
就不,78
打得,78
背心,77
怎样,77
我爹,77
瞧着,77
发出,77
已将,77
大惊,77
第一,76
何处,76
大侠,76
避开,76
之力,76
伤心,76
妻子,76
进来,76
一见,76
几句,76
腰间,76
地里,76
在身,75
她不,75
那也,75
哈哈,75
师弟,75
而出,75
向来,75
何必,75
她是,75
两名,75
师姊,75
小心,75
湖上,75
就算,74
若非,74
西山,74
不对,74
本事,74
哈哈大笑,74
啊哟,74
识得,74
面前,74
郭大侠,74
时辰,74
这儿,73
高台,73
山一,73
多时,73
不许,73
大厅,73
向她,73
有如,73
不知道,72
一名,72
道姑,72
初时,72
暗中,72
报仇,72
中原,72
七八,72
而去,72
王重阳,72
在旁,72
当日,71
施展,71
罢了,71
一句,71
好了,71
确是,71
不多,71
然而,71
只因,71
危急,71
也无,71
又想,71
人家,71
起了,71
脚步,71
不少,71
胡子,71
待我,70
相救,70
当时,70
并非,70
中有,70
竹棒,70
对手,70
要你,70
到她,70
人物,70
叫他,70
指点,70
虽是,69
低头,69
心头,69
那时,69
实在,69
明明,69
剧毒,69
在下,69
到此,69
鲁有脚,69
疼痛,68
纷纷,68
一位,68
这小子,68
冷冷,68
铁掌,68
吓得,67
掌法,67
这人,67
从未,67
转过,67
倒也,67
大为,67
真的,67
第二,67
忽地,66
眼光,66
张君宝,66
情势,66
她说,66
人见,66
相见,66
不明,66
抵挡,66
先前,66
一柄,66
得不,66
都不,66
小龙,66
大有,66
到底,66
暗想,65
耶律,65
小小,65
得罪,65
下不,65
寻思,65
练功,65
父母,65
年来,65
抱住,65
有些,65
兀自,65
阵法,65
小道,64
女郎,64
武士,64
害怕,64
剑尖,64
目光,64
均是,64
用力,64
武艺,64
空中,64
不便,64
正在,64
人心,64
全是,63
大家,63
下手,63
不论,63
害死,63
固然,63
大哥哥,63
一把,63
听见,63
无礼,63
虽不,63
何不,62
丹药,62
铁杖,62
上乘,62
跃上,62
可惜,62
城头,62
那大,62
相交,62
王道,62
担心,62
为了,62
衣衫,62
已有,61
相助,61
自幼,61
悄悄,61
道长,61
逃走,61
就此,61
生死,61
也就,61
石室,61
奔出,61
心神,61
举起,60
行事,60
力气,60
要将,60
相距,60
有的,60
断了,60
之情,60
而死,60
接过,60
最后,60
眼睛,60
小姑娘,60
一旁,60
才是,60
走近,60
左臂,60
转念,59
不必,59
过头,59
北斗,59
什么,59
对付,59
不说,59
右臂,59
多谢,59
不自禁,59
觉远,59
玉女,59
老者,59
在一起,59
魔头,58
拉着,58
料想,58
剪刀,58
出言,58
山洞,58
传授,58
老前辈,58
厉声,58
丝毫不,58
说是,58
佩服,58
教你,58
得意,58
了点,58
不易,58
回去,58
所在,58
大头鬼,58
全无,58
倒在,58
畜生,58
双目,58
变化,58
伤势,57
决计,57
暗自,57
重重,57
救了,57
多了,57
盟主,57
自行,57
得有,57
竟有,57
但她,57
决不能,57
门下,57
鹿清笃,57
不致,57
不懂,57
少妇,57
师徒,57
矮子,56
越来越,56
人手,56
威力,56
一口气,56
儿子,56
句话,56
寒玉,56
向左,56
倒是,56
两步,56
却见,56
翻身,56
伏在,56
理会,56
二十,56
一场,56
要害,56
发作,56
屋顶,55
打死,55
你好,55
别说,55
已被,55
身在,55
再来,55
尚有,55
身形,55
要他,55
却不知,55
干甚么,55
人武,55
已经,55
天竺僧,55
床上,55
凌厉,55
半空,55
美貌,55
岛主,55
大树,54
要是,54
纵声,54
忽见,54
蓦地,54
大石,54
一顿,54
带着,54
手下,54
正好,54
身受,54
险些,54
使出,54
跃出,54
这两个,54
凝神,54
喜欢,54
大吃一惊,54
露出,54
打了,54
手足,54
抱着,53
也要,53
十年,53
武三娘,53
剧痛,53
那日,53
一转,53
说起,53
呆呆,53
不在,53
原是,53
招之,53
毫不,53
牢牢,53
去找,53
不久,53
躲在,53
清楚,53
百姓,53
而来,53
孙不二,53
这话,52
要紧,52
摔倒,52
在后,52
第三,52
脱手,52
岂能,52
不要,52
前面,52
传来,52
大大,52
中间,52
而行,52
迅捷,52
林朝英,52
不怕,52
用意,52
走进,52
怎生,52
一指,52
放下,52
明知,52
那个,52
不来,52
飞出,52
一挥,52
大事,52
一对,52
大军,52
义父,51
重剑,51
必有,51
一句话,51
并肩,51
若不是,51
怪人,51
无力,51
轮子,51
竟会,51
而已,51
难过,51
两声,51
原来是,51
说不出,51
已知,51
雄大,51
外人,51
无异,51
其余,51
是否,51
六人,50
解开,50
好啊,50
到来,50
桌上,50
记得,50
吩咐,50
心里,50
便有,50
一个人,50
一出,50
练到,50
老道,50
等人,50
一座,50
行礼,50
别人,50
大汉,50
绳索,50
服了,50
铁剑,50
谁也,50
好笑,50
来啦,50
甚么事,50
双眼,49
妹妹,49
呼喝,49
招架,49
四下,49
鞑子,49
了不起,49
遇到,49
朋友,49
深厚,49
柔声道,49
没听,49
敌手,49
呼呼,49
不放,49
也好,49
心知,49
中毒,49
逼得,49
不料,49
将我,49
送了,49
快快,49
怪客,49
小人,49
眼中,49
爸爸,49
跟她,48
手里,48
顺手,48
上山,48
几声,48
其时,48
受了,48
帮帮,48
再无,48
既然,48
下山,48
绸带,48
料到,48
没甚么,48
也有,48
向外,48
花之,48
展开,48
叫你,48
诸般,48
诧异,48
千万,48
感激,48
和你,47
极为,47
落在,47
怎知,47
各自,47
双臂,47
不信,47
得好,47
今晚,47
听说,47
王子,47
似是,47
不识,47
另有,47
老妇,47
此言,47
想来,47
犹如,47
满了,47
中所,47
石棺,47
之法,47
一听,47
几步,47
数十年,47
聪明,47
这次,47
忘了,47
不去,47
铁匠,47
将出来,46
四下里,46
这句,46
深谷,46
衣服,46
丛中,46
那你,46
与她,46
小腹,46
不跟,46
想到此,46
个字,46
彭长老,46
为人,46
磕头,46
岂不,46
呼吸,46
人影,46
另一个,46
回答,46
女孩儿,46
瞧出,46
错了,46
力道,46
世间,46
树林,46
转了,46
而起,46
拉住,46
设法,46
经脉,46
身法,46
怒气,46
站立,46
过手,46
为难,46
汉子,46
本领,45
人大,45
当世,45
一身,45
瞧了,45
便可,45
数百,45
看了,45
瞧你,45
银子,45
互相,45
门口,45
交给,45
一红,45
到哪里,45
站着,45
不定,45
说不定,45
说完,45
性子,45
大和,45
寻常,45
衣袖,45
怎会,45
通红,45
相互,44
颤声,44
抬起头来,44
自来,44
早就,44
地方,44
丹田,44
推开,44
相貌,44
胜于,44
两只,44
黑暗,44
多半,44
拾起,44
给人,44
高声,44
个个,44
想他,44
得出,44
小子,44
平时,44
铁轮,44
先师,44
远处,44
退开,44
叫作,44
一沉,44
方能,44
马钰,44
一想,44
一阳指,43
白衣,43
爹妈,43
头发,43
冯默风,43
踏上,43
得多,43
侧身,43
生气,43
怀里,43
叫声,43
两枚,43
从前,43
急奔,43
多少,43
颇有,43
留下,43
山谷,43
一颗,43
岩石,43
此一,43
不大,43
不想,43
圈子,43
分别,43
咱俩,43
拔出,43
掠过,43
显得,43
嘿嘿,43
抱起,43
台下,43
连连,43
离开,43
得到,43
李志常,42
小妹,42
又见,42
连声,42
真有,42
联手,42
挥动,42
花丛,42
君子,42
在手,42
近身,42
进了,42
你爹,42
有异,42
有趣,42
但不,42
小弟,42
到处,42
心思,42
一晃,42
不回,42
数次,42
破绽,42
不绝,42
四名,42
有此,42
黑衣,42
以致,42
岛上,42
有意,42
风声,42
何用,42
已在,42
自知,42
人均,42
还能,41
就要,41
尽是,41
拚命,41
徒儿,41
察看,41
马上,41
腿上,41
双腿,41
向上,41
之内,41
前来,41
相会,41
必是,41
是非,41
数日,41
没见,41
大伙儿,41
在床,41
此后,41
放心,41
金针,41
她在,41
东西,41
出招,41
表妹,41
更不,41
忍耐,41
居士,41
都已,41
神通,41
运气,41
城中,41
并未,41
一拳,41
剑柄,40
狼狈,40
