Name,Count
张无忌,4373
说道,1584
赵敏,1223
谢逊,1171
自己,1121
张翠山,1076
甚么,1029
武功,870
一个,791
周芷若,768
咱们,767
教主,753
一声,727
明教,721
笑道,693
心中,680
听得,643
少林,617
姑娘,609
师父,608
只见,604
弟子,542
如此,540
之中,537
便是,536
这一,527
殷素素,524
如何,517
杨逍,496
他们,490
不知,488
到了,487
两人,481
只是,479
二人,471
今日,461
心想,455
我们,448
声道,427
张三丰,425
义父,415
不敢,406
灭绝师太,402
出来,392
虽然,389
不能,386
这时,383
众人,380
当下,358
不是,358
身子,357
知道,356
之下,355
都是,351
也是,346
三人,344
你们,344
那人,341
小昭,336
手中,336
脸上,336
可是,335
左手,332
大师,327
原来,327
武林,320
突然,318
身上,316
之后,316
金花婆婆,314
兄弟,314
喝道,309
倘若,305
武当派,300
武当,299
跟着,296
却是,292
登时,287
殷梨亭,286
长剑,285
一人,278
一掌,277
又是,276
峨嵋派,275
见到,275
性命,274
难道,269
这个,269
俞岱岩,268
丐帮,268
魔教,265
不可,263
说话,261
郭襄,261
伸手,261
胡青牛,261
少林寺,258
眼见,256
女子,256
高手,253
正是,252
和尚,252
周颠,252
这位,252
宋青书,250
韦一笑,250
当真,249
兵刃,246
右手,243
这些,243
这等,243
此时,243
内力,242
功夫,242
中一,239
但见,238
范遥,235
住了,234
圆真,234
有人,233
起来,231
在他,230
双手,228
这般,228
何太冲,228
昆仑,227
出手,224
声音,224
天鹰,224
过了,222
听到,222
问道,221
还是,221
天下,220
江湖,220
纪晓芙,219
上了,218
少女,217
敌人,216
宋远桥,214
屠龙刀,211
地下,211
那是,211
之间,210
成昆,210
胸口,209
一般,209
的人,208
一惊,208
之事,207
这么,207
大声,206
过去,206
在这,205
爹爹,205
一齐,204
低声,201
不过,201
仍是,201
神功,200
鹿杖客,200
将他,199
轻轻,198
之时,198
九阳,196
走到,196
若是,195
大哥,195
不禁,194
跟你,194
厉害,193
说了,193
只怕,192
这几,192
在下,192
不肯,191
两个,191
之上,191
忽听,191
立时,191
不错,191
只有,191
杀了,188
大侠,187
殷天正,185
似乎,185
峨嵋,185
空智,185
各人,184
之人,183
于是,182
对方,182
陈友谅,182
却也,182
已然,181
死了,181
此刻,181
圣火,180
朱长龄,179
甚是,179
穴道,179
四人,179
点头,178
一招,177
起身,177
想起,176
不得,175
空闻,175
这里,173
杨不悔,173
一阵,173
冷笑,172
夫妇,171
这是,171
真是,170
实是,168
常遇春,168
头陀,167
宝刀,167
早已,166
林中,165
听他,165
当年,165
光明顶,164
山道,164
这才,162
一时,161
中了,161
无法,160
夫人,160
明白,160
动手,160
张松溪,159
更是,158
站起,158
先生,158
在此,158
竟是,158
僧人,157
声响,157
便在,157
吃了,156
下来,156
波斯,156
自是,155
殷离,155
说不得,155
出去,154
不见,153
适才,153
群雄,153
全身,152
苦头,152
湖上,152
不会,150
崆峒,149
却不,149
当即,149
鹤笔翁,149
同时,148
过来,148
成了,148
一笑,148
出了,147
掌门,147
到他,147
说到,147
帮主,147
英雄,147
跟他,146
此事,146
不住,146
之声,145
乃是,145
后来,144
旁人,144
给他,144
汉子,144
点了,143
半点,143
镖局,141
为甚么,141
朗声,141
前辈,140
少年,140
各位,139
说得,139
本来,138
十分,138
道人,138
手指,138
教教,138
老者,138
人人,137
突然间,137
又道,137
下了,136
公子,136
又有,136
肩头,136
怎地,136
剑法,135
不及,135
一眼,135
却又,134
终于,134
上前,134
都大锦,133
身后,133
半晌,133
人物,133
去了,132
真人,132
不由得,132
摇头,131
何况,131
想到,131
二老,131
不用,130
倚天剑,130
抓住,130
哪里,130
乾坤,129
两位,129
人道,128
朱九真,128
口气,128
三个,128
这人,127
一条,127
狮王,127
七八,127
一步,127
张真,127
忽然,126
年纪,126
孩子,126
村女,126
师兄,125
跟我,125
重伤,125
师哥,124
便要,124
的话,123
空见,123
始终,123
之外,123
师伯,123
不必,122
老人家,122
手下,122
之处,122
不出,122
是以,122
岛上,122
满脸,122
只得,122
怎么,121
之前,121
几句话,121
武当山,120
忍不住,120
武学,120
看来,120
冷冷,120
听了,119
此人,119
那也,119
因此,119
蒙古,119
来到,118
日后,118
还有,118
下一,118
挪移,118
三位,118
两名,118
答应,118
鞑子,117
何以,117
人身,117
无不,117
言语,117
其中,116
缓缓,116
之意,116
神色,116
内功,116
纵身,116
许多,115
之极,115
一会,115
那么,115
除了,114
并不,114
眼前,114
下去,113
一动,113
转身,113
暗中,113
哪知,113
给你,113
一名,112
何足道,112
一怔,112
还不,112
未必,112
为了,112
只要,111
太师,111
莫声谷,111
已是,111
受伤,111
一拳,111
大喜,110
中人,110
身旁,110
二十,110
中土,110
哥哥,110
决不,109
开了,109
不到,109
师弟,108
没有,108
中原,108
果然,108
觉远,108
师叔,107
沉吟,107
一块,107
瞧瞧,107
要是,106
走了,106
当时,106
向他,106
慢慢,105
空性,105
在她,105
方丈,105
否则,105
给我,105
取出,104
一面,104
和他,103
提起,103
也无,103
其实,103
招数,103
一直,103
坐在,103
难以,102
劲力,102
无色,102
真的,102
婆婆,101
微笑,101
了点,101
轻功,101
反而,101
之际,101
这样,101
六大,100
分别,100
站在,100
脸色,99
门派,99
便道,98
暗暗,98
怎样,98
彭莹玉,98
不了,98
叹了,98
鲜血,97
远远,97
若不,97
西域,97
身形,97
西华子,97
大叫,96
更加,96
竟然,96
总是,96
长老,96
何必,96
父亲,96
微微,95
其时,95
来了,95
大事,95
地里,95
决计,94
得罪,94
下山,94
躬身,94
山上,94
十年,93
体内,93
立即,93
得了,93
一位,93
几句,93
谁也,93
不动,93
觉得,92
女儿,92
中有,92
班淑娴,92
背上,92
那个,92
手臂,92
功力,92
居然,91
一剑,91
见了,91
已不,91
尚未,91
而去,91
口中,90
号令,90
一下,90
一口,90
郡主,90
再也,89
人在,89
确是,89
心法,89
放在,89
老僧,89
须得,89
片刻,89
兀自,89
那日,88
好了,88
哈哈,88
手腕,88
多谢,88
高僧,88
父母,88
手掌,87
奇怪,87
怎能,87
一片,87
一股,87
妈妈,87
模样,87
布袋,86
再说,86
龙门,85
无比,85
并无,85
下手,85
害死,85
件事,85
这小子,85
不愿,85
起了,85
一番,85
小人,85
不再,85
而来,85
就算,84
若非,84
此处,84
齐声,84
无人,84
到她,84
屠龙,84
人众,84
人家,84
史火龙,84
怀中,83
一点,83
有这,83
急忙,83
随即,83
一路,83
微微一笑,83
名字,83
生怕,82
最后,82
船上,82
卫璧,82
一生,82
年来,82
解药,81
相救,81
回头,81
孩儿,81
中间,81
句话,81
是不是,81
等人,81
报仇,81
向前,81
一起,81
一张,81
一根,81
顶上,80
大家,80
受了,80
有的,80
均是,80
又想,80
不少,80
了得,80
到底,80
不免,79
这一招,79
要你,79
多少,79
颇有,79
进来,79
回到,79
自然,79
一句,78
一日,78
渐渐,78
渡厄,78
小姐,78
瞧着,78
所在,78
上来,78
正要,78
有些,78
叹道,78
是否,78
汝阳,78
时辰,78
不成,77
背心,77
几下,77
多了,77
良久,77
尽数,77
啊哟,77
个个,77
这一下,77
说不定,77
恩师,76
张君宝,76
将她,76
头上,76
师兄弟,76
我爹,76
而出,76
一只,76
暗想,75
晚辈,75
心头,75
人手,75
第一,75
何处,75
不论,75
很好,75
韩林儿,75
生平,75
回来,75
前来,74
暗器,74
又不,74
便有,74
走出,74
说是,74
不好,74
不料,74
门下,74
不如,74
当日,73
得多,73
请你,73
倒是,73
向来,73
数十,73
就此,73
向后,73
这件,73
下落,73
一件,72
欢喜,72
阴毒,72
但他,72
蓦地,72
不在,72
几个,72
得不,72
眼睛,72
武当七侠,72
殷野王,72
手上,72
定是,72
金花,72
叫我,71
六人,71
却已,71
在这里,71
身分,70
入了,70
一切,70
上山,70
华山派,70
各派,70
她说,70
听她,70
也好,70
回去,70
头顶,70
指着,70
双目,70
寻常,70
好好,70
双方,69
望着,69
一口气,69
越是,69
身受,69
然而,69
留下,69
一柄,69
也有,69
隐隐,69
就是,69
腰间,69
倒在,69
伤势,68
金刚,68
十二,68
掌门人,68
一个人,68
另有,68
岂知,68
高老者,68
掌棒龙头,68
露出,68
小心,68
这儿,67
抱着,67
这句,67
五弟,67
实在,67
师妹,67
不信,67
大伙儿,67
剑尖,67
丝毫不,67
一晃,67
料到,67
